2025-12-05 14:20:56.159 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry is empty, awaiting new load (hasLoad await).
2025-12-05 14:29:49.978 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Toyota: weight: 5234, area: 40.20385723668591
2025-12-05 14:29:49.978 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Lada: weight: 3547, area: 75.31396870613588
2025-12-05 14:29:49.978 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Honda: weight: 6603, area: 36.44613119600113
2025-12-05 14:29:49.978 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Honda: weight: 8429, area: 63.63231122151491
2025-12-05 14:29:49.979 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Toyota: weight: 3007, area: 11.162361282740685
2025-12-05 14:29:49.980 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car BMW: weight: 1025, area: 13.265524038268616
2025-12-05 14:29:49.980 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Fiat: weight: 3358, area: 14.542125714829849
2025-12-05 14:29:49.980 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Mercedes: weight: 2367, area: 14.424811755243427
2025-12-05 14:29:49.981 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Toyota: weight: 2832, area: 10.618058387721574
2025-12-05 14:29:49.981 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Fiat: weight: 8053, area: 54.08719307563538
2025-12-05 14:29:49.981 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Toyota: weight: 9485, area: 82.34863918699932
2025-12-05 14:29:49.981 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Chevrolet: weight: 1485, area: 10.197274192583096
2025-12-05 14:29:49.981 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Toyota: weight: 7919, area: 39.03742212977006
2025-12-05 14:29:49.982 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Toyota: weight: 2744, area: 11.929937994000085
2025-12-05 14:29:49.982 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Mercedes: weight: 1103, area: 10.610960631074624
2025-12-05 14:29:49.982 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Volkswagen: weight: 5213, area: 67.7480883116517
2025-12-05 14:29:49.982 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Ford: weight: 9257, area: 59.765843239346566
2025-12-05 14:29:49.982 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Volvo: weight: 1798, area: 12.752900515320368
2025-12-05 14:29:49.984 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry empty. Awaiting load.
2025-12-05 14:29:49.985 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - LOADED: Truck Chevrolet { weight: 6417, area: 69.69483670007781 }. Total: 6417 kg / 69.69483670007781 m².
2025-12-05 14:29:49.985 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry full. Awaiting space for: Truck Chevrolet { weight: 5914, area: 90.51473441728137 }
2025-12-05 14:29:49.986 [Ferry-Loader2] INFO  com.assxmblxr.ferry.resource.LoadingArea - LOADED: Car Toyota { weight: 2832, area: 10.618058387721574 }. Total: 9249 kg / 80.31289508779939 m².
2025-12-05 14:29:49.986 [Ferry-Loader2] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry full. Awaiting space for: Truck Fiat { weight: 8053, area: 54.08719307563538 }
2025-12-05 14:29:49.986 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - UNLOADED BATCH: 2 vehicles. Ferry is now empty.
2025-12-05 14:29:49.987 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - Vehicle Truck Chevrolet { weight: 6417, area: 69.69483670007781 } unloaded.
